Fc1ccc(-c2cnn3cccnc23)cc1Cl; ['Brc1cnn2cccnc12']; ['CC1(C)OB(c2ccc(F)c(Cl)c2)OC1(C)C']; [1.0]
OC[C@H](c1ccccc1)c1cnn2cccnc12; [None]; [None]; [0]
Cc1ccc(O)cc1-c1cnn2cccnc12; [None]; [None]; [0]
Cc1ccc(-c2cnn3cccnc23)cc1C; ['Brc1cnn2cccnc12']; ['Cc1ccc(B(O)O)cc1C']; [0.999999404]
Oc1ccc(Cl)c(-c2cnn3cccnc23)c1; [None]; [None]; [0]
Cc1ccc(CO)cc1-c1cnn2cccnc12; [None]; [None]; [0]
Oc1ncc(-c2cnn3cccnc23)cc1Cl; [None]; [None]; [0]
O=c1ccccn1Cc1cnn2cccnc12; [None]; [None]; [0]
Cc1nc2ccc(-c3cnn4cccnc34)cc2[nH]1; [None]; [None]; [0]
NC(=O)Nc1ccc(-c2cnn3cccnc23)cc1; [None]; [None]; [0]
CS(=O)(=O)c1ccc(-c2cnn3cccnc23)cc1; ['Brc1cnn2cccnc12', 'Brc1cnn2cccnc12']; ['CC1(C)OB(c2ccc(S(C)(=O)=O)cc2)OC1(C)C', 'CS(=O)(=O)c1ccc(B(O)O)cc1']; [1.0, 1.0]
c1ccc2sc(-c3cnn4cccnc34)nc2c1; [None]; [None]; [0]
Oc1cncc(-c2cnn3cccnc23)c1; [None]; [None]; [0]
O=C1Cc2cc(-c3cnn4cccnc34)ccc2N1; ['Brc1cnn2cccnc12']; ['CC1(C)OB(c2ccc3c(c2)CC(=O)N3)OC1(C)C']; [0.999998569]
NC(=O)[C@H]1CC[C@@H](c2cnn3cccnc23)CC1; [None]; [None]; [0]
C[C@H](CC(N)=O)c1cnn2cccnc12; [None]; [None]; [0]
CCc1cc(O)ccc1-c1cnn2cccnc12; [None]; [None]; [0]
Cc1cc(O)ccc1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['Cc1cc(O)ccc1B(O)O']; [0.999960423]
Cc1cccc(C)c1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['Cc1cccc(C)c1B(O)O']; [0.999998212]
CCc1sccc1-c1cnn2cccnc12; [None]; [None]; [0]
Oc1c(Cl)cc(-c2cnn3cccnc23)cc1Cl; [None]; [None]; [0]
c1cnc2c(-c3nccs3)cnn2c1; [None]; [None]; [0]
c1cnc2c(-c3ccc4c(c3)CCN4)cnn2c1; [None]; [None]; [0]
Nc1cc(-c2cnn3cccnc23)[nH]n1; ['Brc1cnn2cccnc12']; ['Nc1cc(Br)[nH]n1']; [0.989670098]
O=c1[nH]c2ccc(-c3cnn4cccnc34)cc2[nH]1; [None]; [None]; [0]
Cn1ncc(N)c1-c1cnn2cccnc12; [None]; [None]; [0]
c1cnc2c(Nc3ccncc3)cnn2c1; ['Brc1cnn2cccnc12']; ['Nc1ccncc1']; [0.999818385]
Fc1cc(Br)ccc1-c1cnn2cccnc12; ['Brc1cnn2cccnc12']; ['OB(O)c1ccc(Br)cc1F']; [0.999949932]
Cc1csc(-c2cnn3cccnc23)n1; [None]; [None]; [0]
Cc1ccc(-c2cnn3cccnc23)c(C)n1; [None]; [None]; [0]
